wayid,num_samples
344476914,17385
337522391,17378
4723986,17378
4730089,17377
344477408,17375
40350411,17372
4727405,17363
4741914,17362
4962695,17359
40350410,17359
162144290,17353
4962801,17353
162144288,17353
337522384,17346
352921938,17334
26583522,17310
659301392,17294
4730074,17290
4723375,17287
4724002,17284
4742016,17282
4741915,17262
16217895,17252
16210672,17247
231502880,17239
162142250,17237
24709502,17233
247463060,17219
7726359,17202
4716873,17201
4821489,17197
258647624,17184
321619704,17183
239559097,17182
4751843,17180
26702165,17167
512997818,17155
512997819,17152
231502886,17148
336070974,17140
4742013,17138
4724022,17128
24027540,17113
4775790,17112
679971282,17106
332240216,17093
39885383,17091
162144287,17083
658236303,17076
162144289,17072
4716862,17071
231502885,17060
42121015,17056
39885391,17045
239195031,17039
4724013,17023
4724026,17010
24716186,17007
4751845,17003
7726330,16999
336067605,16981
328514855,16978
51543063,16975
4962926,16969
51164194,16964
4724017,16960
4741883,16958
43763644,16948
680270248,16943
332240219,16936
293414039,16936
4741916,16936
680270251,16927
39573551,16891
236016593,16889
293560854,16883
43763637,16881
43763643,16880
133901081,16877
43763639,16875
679984211,16862
4716859,16857
658725245,16856
678335310,16855
231491310,16849
4730073,16827
34304604,16797
112950524,16790
337522383,16788
333021916,16780
344477771,16774
658241799,16762
24027475,16759
504781908,16757
324391341,16756
293560855,16755
4716887,16755
40350413,16753
39573554,16752
658223850,16742
105272826,16722
369117814,16700
652583279,16695
231852886,16694
567024561,16690
332240217,16679
180750377,16663
405365464,16663
454736993,16659
231934729,16657
296151761,16654
22809662,16648
640005920,16639
231026427,16635
382141733,16633
658236301,16627
344195670,16615
41454962,16607
326962602,16602
25786712,16598
40131529,16597
24009055,16596
4962802,16594
4761547,16591
296151762,16574
369117813,16568
4741910,16566
567085646,16563
4742005,16556
658223853,16553
162143537,16548
326961947,16537
658236302,16537
24966570,16532
9931279,16532
231932785,16530
39573549,16524
297314798,16511
52498283,16508
512997817,16499
679380436,16494
427264563,16491
231502883,16483
239432196,16482
698498913,16476
512997816,16471
296147516,16459
39885349,16457
679223090,16455
231932782,16450
567024565,16450
239559100,16448
4752665,16438
567024564,16435
4742006,16433
24027794,16426
515200203,16426
567085634,16419
679380435,16415
567085635,16413
43763645,16411
231932783,16410
231502125,16408
658289092,16404
581225458,16403
567024566,16400
529987013,16398
231933574,16390
352430680,16389
678392858,16385
231933312,16382
43763646,16380
239432197,16378
567024562,16375
239430630,16374
529985775,16364
43763641,16338
24027538,16335
16213668,16331
658264981,16327
357786418,16324
529987012,16320
4962952,16316
231933977,16315
239559098,16315
670423540,16313
4723377,16310
231502879,16303
4963130,16302
504781907,16302
427222044,16295
532651627,16292
670423539,16288
427264580,16283
24716350,16279
321619710,16272
324391344,16265
247463071,16264
427264546,16257
364278901,16253
658725244,16244
679660001,16235
388388731,16235
529985774,16233
352430682,16223
180151254,16222
679660005,16218
427264542,16208
4723371,16208
40555054,16197
26702239,16193
614460287,16192
364950600,16168
322803174,16153
679223078,16148
333021919,16145
4761545,16145
324391338,16144
485132078,16138
48231209,16132
658725248,16132
640006543,16124
679223084,16123
658223842,16120
43763640,16118
4741911,16114
302568884,16110
639989534,16108
25773742,16105
4821634,16105
643633767,16103
532650197,16093
231510706,16084
162030322,16083
39885585,16076
40478814,16074
679223080,16072
352921937,16069
679971284,16066
231355408,16065
658725246,16051
614460296,16044
427264584,16043
39885370,16036
25773743,16031
231932784,16029
369117811,16012
658409694,16010
231508261,16003
658409702,16001
658223899,15996
24009795,15989
658223895,15987
529985773,15987
25868144,15982
658241800,15981
162135637,15980
40315869,15974
614460293,15969
40131525,15968
4726913,15968
333021921,15951
667221159,15942
22809665,15932
231510701,15928
639998852,15927
311725602,15921
293413775,15912
679644053,15912
4685092,15904
658241798,15899
658575814,15889
230315386,15881
25868142,15871
22797593,15867
43159843,15851
679644054,15851
26584094,15840
162140029,15834
247463079,15833
529987015,15826
532650196,15817
231510710,15812
655528563,15811
658275745,15809
247463075,15789
529985768,15779
230315380,15775
24027382,15774
39885369,15768
230315373,15760
182627060,15759
321619726,15758
39885382,15753
231933978,15750
4761133,15743
25060263,15739
230315385,15738
643635633,15736
663223989,15733
230315394,15726
658241801,15724
658223863,15724
239430634,15718
672265211,15717
239805675,15717
296151764,15717
46038697,15713
567085661,15711
568942541,15709
419115199,15703
427264586,15700
643721753,15694
294960063,15681
40131526,15681
230315383,15680
614460291,15675
369096748,15668
239805673,15668
561480209,15662
345017135,15658
680541964,15650
336068274,15634
658513182,15630
230315392,15626
40187816,15623
577999109,15619
419291433,15617
311725593,15615
658249649,15613
296151766,15611
644237785,15611
184369594,15607
419115198,15607
231934726,15599
493736707,15598
4761139,15590
679644056,15589
97815364,15587
95122010,15576
311725601,15572
112470619,15572
95122018,15571
197833188,15570
22804380,15570
515100444,15566
112470684,15562
683045288,15559
24027330,15554
567085663,15549
311725605,15549
529985771,15548
4761141,15541
239164440,15539
687425393,15531
182627061,15525
97816393,15519
231934730,15519
239185908,15513
231490823,15512
26598792,15508
679223086,15503
532821306,15491
39885723,15489
4734788,15489
654285027,15487
46038695,15484
654285031,15478
529987014,15478
553306827,15476
239432195,15473
352430681,15471
312906759,15471
231202763,15461
4821514,15461
231491309,15458
227701631,15453
680531168,15450
679644055,15445
231933314,15440
4752673,15431
687425391,15419
231202761,15403
26622734,15391
515200207,15387
367770982,15375
658223847,15374
567085639,15373
22804543,15370
679646336,15368
22809999,15364
311725584,15363
42011040,15356
628619947,15338
639994925,15329
567085633,15328
