wayid,num_samples,num_hours_avail
619161875,10389,23
40131530,9848,23
204553720,9702,22
675672889,9671,23
24009460,9577,23
114394270,9497,21
580233746,9444,21
238856206,9393,23
680531334,9358,23
679406617,9230,23
297314923,9214,23
231932072,9170,23
26772794,9078,22
680347030,9052,23
39519629,8884,23
26551482,8867,20
678717273,8792,22
4734780,8662,23
22804826,8643,22
25692690,8617,23
297314924,8615,23
4734789,8511,21
4741913,8508,22
572001688,8455,23
658240397,8394,22
25473334,8384,23
665120210,8380,22
24503198,8375,22
4761136,8361,22
4723965,8323,23
24995130,8258,22
680572844,8253,22
4734784,8214,23
671416854,8212,23
658240405,8206,23
25747641,8147,21
4716861,8100,22
679734635,8093,21
24027999,8024,23
493736711,8000,23
619161876,7991,22
25747924,7915,23
679963875,7902,22
678402167,7882,20
114394272,7838,23
4741921,7810,21
154067948,7736,20
658236304,7711,23
408293315,7696,23
48958915,7672,23
24717366,7659,21
4734782,7581,22
671438317,7565,23
40006038,7536,23
658709078,7521,23
658240400,7514,23
4760503,7510,20
680797956,7507,22
4724028,7473,21
680401728,7460,21
4726970,7419,20
675986556,7356,19
39573550,7347,21
296147165,7324,22
24995419,7313,21
73235524,7250,21
39519112,7217,22
659308922,7196,23
552389437,7188,21
4727388,7152,22
25605722,7142,21
259886381,7133,21
397965576,7124,22
24717454,7109,21
658240398,7080,21
25739174,7073,20
675986555,7053,20
25748393,7022,22
296147162,6958,19
42011009,6948,20
7726448,6940,23
680350658,6932,21
40384822,6903,23
671411075,6888,22
671412063,6868,19
48274429,6815,23
680338520,6800,23
25342045,6795,23
4963133,6771,22
4750303,6739,21
4723978,6702,22
22804831,6651,20
680332722,6642,21
680287023,6641,21
364279376,6604,19
658240402,6591,20
4760500,6567,21
339690856,6525,23
44635211,6483,20
296147163,6423,18
150473475,6373,23
679648338,6361,18
658709077,6361,23
655574407,6342,20
568902000,6299,23
679390076,6283,23
129884910,6276,20
4727387,6264,21
679971286,6251,23
658273342,6244,22
25605766,6186,21
225692661,6171,23
408293314,6161,22
619161877,6161,20
25605749,6159,22
301694734,6138,23
583039623,6014,20
24968781,5972,23
658697086,5941,23
658219769,5920,23
4716871,5909,18
24009835,5897,23
658240396,5879,21
678182385,5863,23
330461519,5810,22
339690855,5808,23
679982428,5804,20
24009449,5791,22
532655588,5782,21
408293313,5773,23
4724021,5767,22
337521271,5758,23
25739164,5711,20
40491159,5710,19
241557600,5677,21
4734779,5606,20
25762001,5573,23
566876107,5573,23
679406616,5565,22
659308917,5432,21
48161277,5427,22
239805680,5395,21
4734783,5382,23
680056344,5364,19
42010995,5354,20
658240403,5289,22
24009531,5285,21
680094834,5262,20
680030490,5239,19
679203009,5237,21
239171039,5222,20
680332724,5216,19
678717271,5188,23
452864609,5148,23
532655568,5135,20
260916930,5095,21
675351292,5075,18
583039627,5066,20
231508263,5010,23
670419441,5006,23
679190873,4989,20
672265210,4977,21
239195029,4945,22
25739439,4942,21
4752420,4889,23
571774120,4861,18
678438286,4843,21
93673525,4792,23
680030491,4787,19
679523985,4777,21
680350657,4743,17
680332720,4741,19
678350604,4740,22
584887778,4732,20
330461527,4692,23
659308916,4684,20
25773753,4647,22
679627183,4641,20
68577397,4636,23
303603511,4629,18
26742676,4623,18
42132381,4613,23
671411581,4611,23
108397867,4608,22
25849963,4601,23
4716869,4600,19
580233745,4579,23
680332721,4556,23
675351288,4524,18
48066689,4523,23
48161294,4463,18
50428427,4449,22
671264354,4432,22
114394269,4431,20
567085652,4418,22
556818097,4407,22
303603510,4373,18
544090388,4346,19
369117817,4339,22
40554733,4338,20
568902001,4336,21
174310505,4335,23
39962902,4317,23
68577396,4305,22
382219701,4299,23
367958207,4282,20
679165257,4251,21
659308921,4218,22
580233734,4214,23
297314922,4187,20
670247027,4185,21
100788273,4176,21
144982813,4132,23
24716627,4100,19
25857937,4075,20
325928147,4064,23
25342040,4043,20
25033526,4034,23
25849941,4030,23
25858027,4014,23
24995440,4004,21
675986549,3997,19
93672600,3991,23
680005033,3982,18
679656043,3922,20
23754680,3910,22
672265209,3903,21
34062413,3896,23
679971281,3862,23
672301742,3833,23
154067955,3827,19
658273368,3826,20
25748203,3817,22
665121964,3813,22
26787906,3809,23
44635690,3798,21
658273360,3796,20
25815107,3778,23
680354991,3771,23
680921640,3761,22
679734634,3754,20
26742482,3752,18
247389749,3732,17
583039625,3713,20
610048828,3698,23
85399639,3679,20
680878532,3660,23
679656044,3658,20
40006022,3649,21
671264350,3630,19
574642938,3621,23
678374459,3618,16
40554728,3615,21
658273365,3611,20
671966987,3606,22
662033222,3595,19
25773228,3587,23
24716589,3545,18
24716581,3537,18
48226342,3471,23
231504513,3471,23
679404626,3458,21
679190871,3458,19
286033101,3447,23
680032415,3407,23
25747926,3366,22
126136945,3357,19
22797606,3339,22
48226344,3330,22
25858059,3323,23
41667600,3320,23
101074473,3313,23
239183912,3264,20
658240399,3263,19
680243060,3258,23
680002066,3255,23
264112451,3245,23
